rho E momentum
1.00000000e+00 1.59726996e-81 2.50000000e+00
1.00000000e+00 6.18502618e-80 2.50000000e+00
1.00000000e+00 2.39830280e-78 2.50000000e+00
1.00000000e+00 9.01501798e-77 2.50000000e+00
1.00000000e+00 3.26393954e-75 2.50000000e+00
1.00000000e+00 1.13560919e-73 2.50000000e+00
1.00000000e+00 3.81238290e-72 2.50000000e+00
1.00000000e+00 1.24957547e-70 2.50000000e+00
1.00000000e+00 4.07136176e-69 2.50000000e+00
1.00000000e+00 1.34326656e-67 2.50000000e+00
1.00000000e+00 4.53690317e-66 2.50000000e+00
1.00000000e+00 1.56476502e-64 2.50000000e+00
1.00000000e+00 5.42818414e-63 2.50000000e+00
1.00000000e+00 1.85500086e-61 2.50000000e+00
1.00000000e+00 6.13859590e-60 2.50000000e+00
1.00000000e+00 1.95482230e-58 2.50000000e+00
1.00000000e+00 6.02908897e-57 2.50000000e+00
1.00000000e+00 1.82535642e-55 2.50000000e+00
1.00000000e+00 5.48689162e-54 2.50000000e+00
1.00000000e+00 1.64671862e-52 2.50000000e+00
1.00000000e+00 4.94446494e-51 2.50000000e+00
1.00000000e+00 1.48195430e-49 2.50000000e+00
1.00000000e+00 4.38267231e-48 2.50000000e+00
1.00000000e+00 1.25507413e-46 2.50000000e+00
1.00000000e+00 3.42840414e-45 2.50000000e+00
1.00000000e+00 8.90610570e-44 2.50000000e+00
1.00000000e+00 2.23631005e-42 2.50000000e+00
1.00000000e+00 5.64582312e-41 2.50000000e+00
1.00000000e+00 1.48898673e-39 2.50000000e+00
1.00000000e+00 4.07680776e-38 2.50000000e+00
1.00000000e+00 1.10644489e-36 2.50000000e+00
1.00000000e+00 2.93639985e-35 2.50000000e+00
1.00000000e+00 7.90098320e-34 2.50000000e+00
1.00000000e+00 2.13446046e-32 2.50000000e+00
1.00000000e+00 5.72140234e-31 2.50000000e+00
1.00000000e+00 1.53876834e-29 2.50000000e+00
1.00000000e+00 4.05447474e-28 2.50000000e+00
1.00000000e+00 9.98767188e-27 2.50000000e+00
1.00000000e+00 2.24767398e-25 2.50000000e+00
1.00000000e+00 4.65127365e-24 2.50000000e+00
1.00000000e+00 9.19960457e-23 2.50000000e+00
1.00000000e+00 2.59224342e-21 2.50000000e+00
1.00000000e+00 7.84122911e-20 2.50000000e+00
1.00000000e+00 1.91603966e-18 2.50000000e+00
1.00000000e+00 3.92857142e-17 2.50000000e+00
1.00000000e+00 2.50103263e-16 2.50000000e+00
1.00000000e+00 9.14601626e-16 2.50000000e+00
1.00000000e+00 2.62330803e-15 2.50000000e+00
1.00000000e+00 7.30968882e-15 2.50000000e+00
1.00000000e+00 1.99572290e-14 2.50000000e+00
1.00000000e+00 5.30368663e-14 2.50000000e+00
1.00000000e+00 1.38138345e-13 2.50000000e+00
1.00000000e+00 3.53304608e-13 2.50000000e+00
1.00000000e+00 8.87564491e-13 2.50000000e+00
1.00000000e+00 2.19011894e-12 2.50000000e+00
1.00000000e+00 5.30824930e-12 2.50000000e+00
1.00000000e+00 1.26382329e-11 2.50000000e+00
1.00000000e+00 2.95601574e-11 2.50000000e+00
1.00000000e+00 6.79268613e-11 2.50000000e+00
1.00000000e+00 1.53362972e-10 2.50000000e+00
1.00000000e+00 3.40229081e-10 2.50000000e+00
9.99999999e-01 7.41686603e-10 2.50000000e+00
9.99999999e-01 1.58888489e-09 2.50000000e+00
9.99999997e-01 3.34511614e-09 2.49999999e+00
9.99999994e-01 6.92148589e-09 2.49999998e+00
